"","symbol","Alpha","performance","LMT_std","mean","period","interest_mean","unemp_mean","sector"
"54","CINF",-0.0031,0,"5.58","0.53","2001",4.4,4.5,"Finance"
"55","CTAS",9e-04,0,"11.08","-1.87","2001",4.4,4.5,"Consumer Discretionary"
"56","CSCO",-0.0251,0,"18.71","-7.94","2001",4.4,4.5,"Telecommunications"
"57","C",0.0124,0,"8.61","-1.46","2001",4.4,4.5,"Finance"
"58","CTXS",0.1334,1,"35.23","4.42","2001",4.4,4.5,"Technology"
"59","CLX",0.0154,0,"6.65","1.2","2001",4.4,4.5,"Consumer Discretionary"
"60","CMS",-0.0259,0,"5.99","-3.54","2001",4.4,4.5,"Utilities"
"61","KO",-0.0181,0,"6.49","-2.43","2001",4.4,4.5,"Consumer Staples"
"62","CTSH",0.0767,1,"28.62","-0.77","2001",4.4,4.5,"Technology"
"63","CL",-0.0086,0,"4.65","-0.66","2001",4.4,4.5,"Consumer Discretionary"
"64","CMCSA",-0.0047,0,"5.95","-1.1","2001",4.4,4.5,"Consumer Discretionary"
"65","CMA",-0.0067,0,"7.68","-0.16","2001",4.4,4.5,"Finance"
"66","CAG",0.0074,0,"8.96","-0.61","2001",4.4,4.5,"Consumer Staples"
"67","COP",0.0106,0,"6.9","-0.32","2001",4.4,4.5,"Energy"
"68","ED",0.007,0,"3.97","1.38","2001",4.4,4.5,"Utilities"
"69","GLW",-0.0731,0,"19.84","-13.32","2001",4.4,4.5,"Technology"
"70","COST",0.0019,0,"9.25","-1.16","2001",4.4,4.5,"Consumer Discretionary"
"71","CTRA",-0.0225,0,"8.63","-3.55","2001",4.4,4.5,"Energy"
"72","CSX",0.0363,1,"9.36","2.1","2001",4.4,4.5,"Industrials"
"73","CMI",0.0017,0,"6.79","-1.18","2001",4.4,4.5,"Industrials"
"74","CVS",-0.0438,0,"9.67","-4.87","2001",4.4,4.5,"Health Care"
"75","DHI",0.0089,0,"12.6","-0.4","2001",4.4,4.5,"Consumer Discretionary"
"76","DHR",-0.0184,0,"8.32","-3.18","2001",4.4,4.5,"Health Care"
"77","DRI",0.0234,1,"7.2","1.45","2001",4.4,4.5,"Consumer Discretionary"
"78","DVA",0.048,1,"8.76","2.59","2001",4.4,4.5,"Health Care"
"79","DE",3e-04,0,"8.59","-1.37","2001",4.4,4.5,"Industrials"
"80","XRAY",0.0139,0,"6.68","1.84","2001",4.4,4.5,"Health Care"
"81","DVN",-0.0427,0,"9.42","-5.15","2001",4.4,4.5,"Energy"
"82","DIS",-0.0161,0,"10.25","-3.76","2001",4.4,4.5,"Consumer Discretionary"
"83","D",-0.0062,0,"5.52","-0.5","2001",4.4,4.5,"Utilities"
"84","DOV",-0.0026,0,"8.59","-2.47","2001",4.4,4.5,"Industrials"
"85","DTE",0.0119,0,"6.33","1.77","2001",4.4,4.5,"Utilities"
"86","DUK",-0.0092,0,"8.4","-0.28","2001",4.4,4.5,"Utilities"
"87","EMN",-0.0192,0,"6.73","-2.38","2001",4.4,4.5,"Industrials"
"88","ETN",0.0065,0,"8.01","-0.76","2001",4.4,4.5,"Industrials"
"89","EBAY",0.1562,1,"27.27","7.34","2001",4.4,4.5,"Consumer Discretionary"
